LoanID,StringID,Product,CustomerGender,Location,Region,TotalPrice
43,id_43,Product A,Male,Location 53,Region 6,19250
44,id_44,Product C,NotSpecified,Location 54,Region 4,15600
45,id_45,Product A,Male,Location 46,Region 2,19250
46,id_46,Product B,Male,Location 44,Region 1,16600
47,id_47,Product B,Male,Location 39,Region 6,16600
48,id_48,Product B,Male,Location 30,Region 2,16600
49,id_49,Product D,Male,Location 56,Region 3,20250
50,id_50,Product A,Female,Location 44,Region 1,22250
51,id_51,Product B,Male,Location 57,Region 6,16600
52,id_52,Product A,Female,Location 39,Region 6,20250
53,id_53,Product D,Male,Location 59,Region 6,20250
54,id_54,Product B,Male,Location 44,Region 1,16600
55,id_55,Product B,Male,Location 60,Region 3,16600
56,id_56,Product B,Male,Location 29,Region 1,16600
57,id_57,Product B,Female,Location 44,Region 1,
58,id_58,Product B,Male,Location 61,Region 2,16600
59,id_59,Product B,Male,Location 62,Region 3,16600
60,id_60,Product B,Female,Location 6,Region 1,16600
61,id_61,Product A,Male,Location 23,Region 4,19250
62,id_62,Product C,NotSpecified,Location 64,Region 6,15600
63,id_63,Product C,Female,Location 65,Region 2,15600
64,id_64,Product D,Male,Location 66,Region 2,20250
65,id_65,Product B,Male,Location 23,Region 4,16600
66,id_66,Product A,Male,Location 19,Region 2,22250
67,id_67,Product A,Male,Location 50,Region 1,22250
68,id_68,Product D,Male,Location 68,Region 6,20250
69,id_69,Product A,Female,Location 61,Region 2,20250
70,id_70,Product B,Female,Location 10,Region 2,16600
71,id_71,Product C,Female,Location 64,Region 6,15600
72,id_72,Product B,Male,Location 70,Region 7,16600
73,id_73,Product B,Male,Location 72,Region 3,16600
74,id_74,Product A,Male,Location 40,Region 6,22250
75,id_75,Product A,Male,Location 20,Region 1,20750
76,id_76,Product A,Male,Location 73,Region 4,22250
77,id_77,Product A,Female,Location 20,Region 1,19250
78,id_78,Product D,Male,Location 75,Region 3,20250
79,id_79,Product D,Male,Location 76,Region 2,20250
80,id_80,Product D,Female,Location 77,Region 3,20250
81,id_81,Product A,Male,Location 2,Region 2,19250
82,id_82,Product B,Male,Location 4,Region 4,16600
83,id_83,Product A,Female,Location 78,Region 4,22250
84,id_84,Product D,Male,Location 79,Region 1,20250
85,id_85,Product B,Female,Location 80,Region 2,16600
86,id_86,Product A,Female,Location 25,Region 3,19250
87,id_87,Product A,Male,Location 11,Region 3,22250
88,id_88,Product B,Male,Location 81,Region 10,16600
89,id_89,Product A,Male,Location 82,Region 7,19250
90,id_90,Product B,Male,Location 32,Region 6,16600
91,id_91,Product A,Male,Location 84,Region 3,
92,id_92,Product D,Male,Location 34,Region 1,20250
93,id_93,Product B,Male,Location 87,Region 6,16600
94,id_94,Product B,Male,Location 17,Region 3,16600
95,id_95,Product A,Female,Location 49,Region 6,19250
96,id_96,Product B,Male,Location 53,Region 6,16600
97,id_97,Product B,Male,Location 2,Region 2,16600
98,id_98,Product A,Female,Location 47,Region 7,22250
99,id_99,Product A,Male,Location 89,Region 6,22250
100,id_100,Product B,Male,Location 90,Region 6,16600








































































































































































































